tahun,periode_bulan,bps_kode_provinsi,bps_nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_jumlah_penduduk,satuan,persentase_jumlah_penduduk_miskin
2018,Maret,11,Aceh,1115,Kabupaten Nagan Raya,31.06,Ribu Jiwa,18.97
2018,Maret,11,Aceh,1116,Kabupaten Aceh Jaya,12.85,Ribu Jiwa,14.16
2018,Maret,11,Aceh,1117,Kabupaten Bener Meriah,29.08,Ribu Jiwa,20.13
2018,Maret,11,Aceh,1118,Kabupaten Pidie Jaya,31.72,Ribu Jiwa,20.17
2018,Maret,11,Aceh,1171,Kota Banda Aceh,19.13,Ribu Jiwa,7.25
2018,Maret,11,Aceh,1172,Kota Sabang,5.62,Ribu Jiwa,16.31
2018,Maret,11,Aceh,1173,Kota Langsa,18.73,Ribu Jiwa,10.79
2018,Maret,11,Aceh,1174,Kota Lhokseumawe,23.88,Ribu Jiwa,11.81
2018,Maret,11,Aceh,1175,Kota Subulussalam,14.78,Ribu Jiwa,18.51
2019,Maret,11,Aceh,1101,Kabupaten Simeulue,17.67,Ribu Jiwa,18.99
2019,Maret,11,Aceh,1102,Kabupaten Aceh Singkil,25.66,Ribu Jiwa,20.78
2019,Maret,11,Aceh,1103,Kabupaten Aceh Selatan,31.06,Ribu Jiwa,13.09
2019,Maret,11,Aceh,1104,Kabupaten Aceh Tenggara,28.93,Ribu Jiwa,13.43
2019,Maret,11,Aceh,1105,Kabupaten Aceh Timur,62.79,Ribu Jiwa,14.47
2019,Maret,11,Aceh,1106,Kabupaten Aceh Tengah,32.78,Ribu Jiwa,15.5
2019,Maret,11,Aceh,1107,Kabupaten Aceh Barat,39.29,Ribu Jiwa,18.79
2019,Maret,11,Aceh,1108,Kabupaten Aceh Besar,58.9,Ribu Jiwa,13.92
2019,Maret,11,Aceh,1109,Kabupaten Pidie,86.29,Ribu Jiwa,19.46
2019,Maret,11,Aceh,1110,Kabupaten Bireuen,63.6,Ribu Jiwa,13.56
2019,Maret,11,Aceh,1111,Kabupaten Aceh Utara,107.34,Ribu Jiwa,17.39
2019,Maret,11,Aceh,1112,Kabupaten Aceh Barat Daya,24.36,Ribu Jiwa,16.26
2019,Maret,11,Aceh,1113,Kabupaten Gayo Lues,18.63,Ribu Jiwa,19.87
2019,Maret,11,Aceh,1114,Kabupaten Aceh Tamiang,39.35,Ribu Jiwa,13.38
2019,Maret,11,Aceh,1115,Kabupaten Nagan Raya,29.93,Ribu Jiwa,17.97
2019,Maret,11,Aceh,1116,Kabupaten Aceh Jaya,12.35,Ribu Jiwa,13.36
2019,Maret,11,Aceh,1117,Kabupaten Bener Meriah,28.45,Ribu Jiwa,19.3
2019,Maret,11,Aceh,1118,Kabupaten Pidie Jaya,30.97,Ribu Jiwa,19.31
2019,Maret,11,Aceh,1171,Kota Banda Aceh,19.42,Ribu Jiwa,7.22
2019,Maret,11,Aceh,1172,Kota Sabang,5.43,Ribu Jiwa,15.6
2019,Maret,11,Aceh,1173,Kota Langsa,18.62,Ribu Jiwa,10.57
2019,Maret,11,Aceh,1174,Kota Lhokseumawe,23.05,Ribu Jiwa,11.18
2019,Maret,11,Aceh,1175,Kota Subulussalam,14.56,Ribu Jiwa,17.95
2020,Maret,11,Aceh,1101,Kabupaten Simeulue,17.34,Ribu Jiwa,18.49
2020,Maret,11,Aceh,1102,Kabupaten Aceh Singkil,25.43,Ribu Jiwa,20.2
2020,Maret,11,Aceh,1103,Kabupaten Aceh Selatan,30.91,Ribu Jiwa,12.87
2020,Maret,11,Aceh,1104,Kabupaten Aceh Tenggara,28.98,Ribu Jiwa,13.21
2020,Maret,11,Aceh,1105,Kabupaten Aceh Timur,62.34,Ribu Jiwa,14.08
2020,Maret,11,Aceh,1106,Kabupaten Aceh Tengah,32.48,Ribu Jiwa,15.08
2020,Maret,11,Aceh,1107,Kabupaten Aceh Barat,39.06,Ribu Jiwa,18.34
2020,Maret,11,Aceh,1108,Kabupaten Aceh Besar,59.7,Ribu Jiwa,13.84
2020,Maret,11,Aceh,1109,Kabupaten Pidie,86.39,Ribu Jiwa,19.23
2020,Maret,11,Aceh,1110,Kabupaten Bireuen,62.42,Ribu Jiwa,13.06
2020,Maret,11,Aceh,1111,Kabupaten Aceh Utara,106.41,Ribu Jiwa,17.02
2020,Maret,11,Aceh,1112,Kabupaten Aceh Barat Daya,24.21,Ribu Jiwa,15.93
2020,Maret,11,Aceh,1113,Kabupaten Gayo Lues,18.42,Ribu Jiwa,19.32
2020,Maret,11,Aceh,1114,Kabupaten Aceh Tamiang,38.93,Ribu Jiwa,13.08
2020,Maret,11,Aceh,1115,Kabupaten Nagan Raya,29.99,Ribu Jiwa,17.7
2020,Maret,11,Aceh,1116,Kabupaten Aceh Jaya,12.11,Ribu Jiwa,12.87
2020,Maret,11,Aceh,1117,Kabupaten Bener Meriah,28.38,Ribu Jiwa,18.89
2020,Maret,11,Aceh,1118,Kabupaten Pidie Jaya,31.39,Ribu Jiwa,19.19
2020,Maret,11,Aceh,1171,Kota Banda Aceh,18.97,Ribu Jiwa,6.9
2020,Maret,11,Aceh,1172,Kota Sabang,5.27,Ribu Jiwa,14.94
2020,Maret,11,Aceh,1173,Kota Langsa,18.65,Ribu Jiwa,10.44
2020,Maret,11,Aceh,1174,Kota Lhokseumawe,22.69,Ribu Jiwa,10.8
2020,Maret,11,Aceh,1175,Kota Subulussalam,14.46,Ribu Jiwa,17.6
2021,Maret,11,Aceh,1101,Kabupaten Simeulue,18.25,Ribu Jiwa,18.98
2021,Maret,11,Aceh,1102,Kabupaten Aceh Singkil,25.48,Ribu Jiwa,20.36
2021,Maret,11,Aceh,1103,Kabupaten Aceh Selatan,32.25,Ribu Jiwa,13.18
2021,Maret,11,Aceh,1104,Kabupaten Aceh Tenggara,29.31,Ribu Jiwa,13.41
2021,Maret,11,Aceh,1105,Kabupaten Aceh Timur,63.69,Ribu Jiwa,14.45
2021,Maret,11,Aceh,1106,Kabupaten Aceh Tengah,32.72,Ribu Jiwa,15.26
2021,Maret,11,Aceh,1107,Kabupaten Aceh Barat,39.83,Ribu Jiwa,18.81
2021,Maret,11,Aceh,1108,Kabupaten Aceh Besar,60.26,Ribu Jiwa,14.05
2021,Maret,11,Aceh,1109,Kabupaten Pidie,88.53,Ribu Jiwa,19.59
2021,Maret,11,Aceh,1110,Kabupaten Bireuen,63.02,Ribu Jiwa,13.25
2021,Maret,11,Aceh,1111,Kabupaten Aceh Utara,109.49,Ribu Jiwa,17.43
2021,Maret,11,Aceh,1112,Kabupaten Aceh Barat Daya,25.06,Ribu Jiwa,16.34
2021,Maret,11,Aceh,1113,Kabupaten Gayo Lues,18.61,Ribu Jiwa,19.64
2021,Maret,11,Aceh,1114,Kabupaten Aceh Tamiang,40.03,Ribu Jiwa,13.34
2021,Maret,11,Aceh,1115,Kabupaten Nagan Raya,30.71,Ribu Jiwa,18.23
2021,Maret,11,Aceh,1116,Kabupaten Aceh Jaya,12.63,Ribu Jiwa,13.23
2021,Maret,11,Aceh,1117,Kabupaten Bener Meriah,28.69,Ribu Jiwa,19.16
2021,Maret,11,Aceh,1118,Kabupaten Pidie Jaya,31.79,Ribu Jiwa,19.55
2021,Maret,11,Aceh,1171,Kota Banda Aceh,20.95,Ribu Jiwa,7.61
2021,Maret,11,Aceh,1172,Kota Sabang,5.33,Ribu Jiwa,15.32
2021,Maret,11,Aceh,1173,Kota Langsa,19.78,Ribu Jiwa,10.96
2021,Maret,11,Aceh,1174,Kota Lhokseumawe,23.38,Ribu Jiwa,11.16
2021,Maret,11,Aceh,1175,Kota Subulussalam,14.46,Ribu Jiwa,17.65
